No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
129,0.6782,17.6262,17.28794,1616.93994,0.72593,4.95E-06,4.95E-06,4.95E-06,-3.474683333,-3.403553333,-3.44818,-12.21612298,-3.442138889,-4.43078,34.22684487,0.07247829,0.834669339,0.092852371,0.048430595,11.33218242,26.15620153,11.28375182,14.82401911,-13.57219,-13.31828,-13.75663,0.07087274,16.58337714,38.27666539
131,0.6805,18.33931,18.04318,2152.63989,0.60361,1.72E-06,1.71E-06,1.72E-06,-2.062333333,-2.048463333,-2.110396667,-13.27901719,-2.073731111,-2.16379,340.6824869,0.157616893,0.801659125,0.040723982,0.017057324,5.143235097,16.44634213,5.126177773,11.30310703,-9.53045,-9.92514,-10.41015,0.020755443,6.258315863,20.01199671
132,0.79385,25.45909,25.21032,2609.27002,0.40875,2.28E-06,2.28E-06,2.28E-06,-1.6583,-1.620536667,-1.584306667,-12.99133511,-1.621047778,-2.3506,387.2647962,0.195427729,0.765486726,0.036873156,0.022946109,7.476174872,29.99277284,7.453228763,22.51659797,-7.7729,-8.63329,-9.97642,0.018907386,6.160300435,24.71377339
133,0.75873,12.52501,10.98125,5124.43994,0.46132,1.08E-05,1.08E-05,1.08E-05,-3.904893333,-3.863183333,-4.01444,-11.43596442,-3.927505556,-5.73998,-200.2370264,0.377848437,0.589825119,0.032326444,0.108395488,22.22251081,48.22497424,22.11411532,26.00246343,-13.73061,-13.17096,-15.18035,0.100804093,20.66617419,44.8475749
134,0.71232,11.59954,10.12633,3856.43994,0.54174,6.74E-06,6.74E-06,6.73E-06,-3.115543333,-3.245716667,-3.13294,-11.90745063,-3.164733333,-6.54295,62.47130105,0.293884734,0.705821968,0.000293298,0.068041875,16.38452814,34.35867632,16.31648626,17.97414818,-12.50249,-13.43205,-15.72289,0.074307363,17.89326188,37.52252051
135,0.54604,5.31227,4.58115,932.961,0.92098,3.98E-06,4.02E-06,4.00E-06,-2.610226667,-2.617016667,-2.638283333,-12.4292162,-2.621842222,-2.9097,123.9984202,0.148865523,0.798561151,0.029883785,0.039610639,11.60558733,33.16918062,11.56597669,21.56359329,-10.84458,-11.26929,-10.91761,0.073540525,21.54676124,61.58140859
136,0.89724,22.44757,21.72577,2848.07007,0.29311,3.35E-06,3.37E-06,3.34E-06,-3.87758,-3.826073333,-3.724703333,-12.60655021,-3.809452222,-2.36811,99.35248713,0.121089354,0.821066847,0.057843799,0.033228395,8.612926214,19.1780763,8.57969782,10.56515008,-13.67318,-13.78258,-12.83137,0.019633814,5.089159218,11.33183791
137,0.70765,17.12234,16.83324,2403.04004,0.52156,2.75E-06,2.77E-06,2.77E-06,-2.357283333,-2.319556667,-2.325926667,-12.80027988,-2.334255556,-2.37174,249.5572502,0.173913043,0.826086957,0,0.027829877,8.488141288,27.63485077,8.460311412,19.14670949,-9.96219,-10.63925,-11.9747,0.029260399,8.924451891,29.05534767
138,0.83065,25.33571,24.86859,3463.21997,0.33425,4.93E-06,4.93E-06,4.95E-06,-2.599473333,-2.526836667,-2.525116667,-12.21814523,-2.550475556,-4.24814,58.18675096,0.197259401,0.731357553,0.060866794,0.0494523,14.17932,43.98776812,14.1298677,29.80844812,-10.84513,-10.56445,-10.35538,0.03332135,9.554137691,29.63930522
139,0.67166,11.09613,9.65747,2302.54004,0.62184,4.12E-06,4.14E-06,4.12E-06,-3.03706,-3.062826667,-3.07648,-12.39723315,-3.058788889,-4.14489,328.0727659,0.10978836,0.84047619,0.04973545,0.04144806,10.59134914,24.77078724,10.54990108,14.1794381,-12.96187,-12.7234,-15.52419,0.051957415,13.27683676,31.05153972
