No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
2306,0.346532909,0.012428594,0.005818411,0.050064715,0.322759091,1.50E-05,1.50E-05,1.50E-05,-4.935516667,-5.054853333,-4.976843333,-11.10746036,0.452992397,0.122384014,0.205379101,0.045804246,0.955368473,0.024702749,0.146909634,7.311735608,8.864903194,7.164825974,1.553167586,-19.13926,-21.8798,-20.77147,0.382960324,19.06004773,23.10880577
2307,0.508248149,0.02290238,0.004000179,0.092973903,0.296276095,8.66E-06,8.64E-06,8.64E-06,-4.213353333,-4.188883333,-4.161496667,-11.65795124,0.562111804,0.093771329,0.134431383,0.151691066,0.835801386,0.086913342,0.086151569,10.44297902,14.36672051,10.35682745,3.92374149,-16.31954,-19.60112,-20.50893,0.206785117,25.06573783,34.48368987
2308,0.411512021,0.040138103,0.026548402,0.085254513,0.315120511,5.90E-06,5.90E-06,5.91E-06,-3.9211,-3.955503333,-3.970893333,-12.04055821,0.594629371,0.116860273,0.105480637,0.052612227,0.935801466,0.085646129,0.058728675,8.117282788,10.67251812,8.058554113,2.555235332,-15.88395,-20.21196,-21.19051,0.149594003,20.67638729,27.18509676
2310,0.669321587,0.055742279,0.032334174,0.147937431,0.29955642,3.95E-06,3.93E-06,3.94E-06,-3.695676667,-3.600196667,-3.559053333,-12.44432983,0.639692633,0.116409711,0.072962737,0.225087481,0.777934192,0.010142302,0.039724956,9.761269615,17.34035346,9.721544659,7.579083845,-13.55019,-15.14871,-18.488,0.096365964,23.67917439,42.06473848
2311,0.689695474,0.04848643,0.03324162,0.21097091,0.221232151,5.94E-06,5.95E-06,5.93E-06,-3.74869,-3.781803333,-3.79703,-12.03380142,0.618236466,0.113300552,0.082593691,0.256652271,0.741149563,0.034160214,0.059207624,13.834847,23.66612452,13.77563938,9.83127752,-13.86356,-15.31275,-18.48094,0.107463006,25.1105203,42.954483
2314,0.256960617,0.014358975,0.008794511,0.035527329,0.457508298,2.55E-06,2.55E-06,2.55E-06,-3.452643333,-3.486606667,-3.454356667,-12.8794172,0.660636833,0.119969497,0.245797959,0.107004819,0.881637982,0.082819327,0.025912978,3.157618745,4.763764739,3.131705767,1.606145994,-15.16601,-17.02828,-17.7153,0.094779637,11.54934634,17.42400628
2316,0.289405911,0.015482491,0.007244079,0.045329977,0.3365318,1.35E-05,1.36E-05,1.36E-05,-5.937053333,-5.940263333,-5.94132,-11.20544077,0.323536098,0.550463892,0.140724894,0.063070294,0.916644635,0.127010847,0.129263915,5.892089524,7.463881051,5.762825609,1.571791527,-21.07011,-20.5738,-20.37135,0.35084564,15.99219645,20.25832288
2321,0.336674612,0.011701171,0.002432034,0.045198708,0.299548665,1.34E-05,1.33E-05,1.33E-05,-4.76744,-4.80058,-4.722243333,-11.22774652,0.483726325,0.106730029,0.177657834,0.064196697,0.883314816,0.281340465,0.131852053,8.516028312,10.32874196,8.384176259,1.812713648,-18.78777,-22.47065,-22.33449,0.319842607,20.65791646,25.05514082
2322,0.345228281,0.011017784,0.00179807,0.044594953,0.299349622,1.35E-05,1.36E-05,1.36E-05,-4.83021,-4.764696667,-4.787746667,-11.20544077,0.479531765,0.101785102,0.229228755,0.072960521,0.872835381,0.289285638,0.13322728,8.5990985,10.45409975,8.46587122,1.85500125,-18.78152,-22.28572,-21.81574,0.322971791,20.84607778,25.3430027
2326,0.560652372,0.029562576,0.011738417,0.160852524,0.231766412,9.78E-06,9.79E-06,9.79E-06,-3.91068,-3.851133333,-3.854403333,-11.5341491,0.605129619,0.096437367,0.105273725,0.188554948,0.802367722,0.069299246,0.097434087,12.627024,17.48526713,12.52958991,4.85824313,-15.20881,-18.73343,-19.48639,0.184849112,23.95562216,33.17253953
2331,0.263817937,0.01294895,0.005836346,0.043532405,0.33617249,6.35E-06,6.35E-06,6.33E-06,-4.472163333,-4.417443333,-4.4102,-11.96863179,0.528693641,0.152763359,0.313308471,0.053196214,0.94620197,0.032973977,0.062878484,5.753188135,7.950344227,5.690309651,2.197156092,-17.59711,-20.19707,-20.83407,0.170487386,15.5990721,21.55639446
2332,0.519458656,0.018382545,0.017479296,0.119528573,0.265331445,1.27E-05,1.27E-05,1.27E-05,-4.630493333,-4.644053333,-4.667633333,-11.27390856,0.499529514,0.113157224,0.076590081,0.120956145,0.865473232,0.092985889,0.126204407,12.22503981,15.72140909,12.0988354,3.49636928,-17.17454,-21.04962,-21.81282,0.272466082,26.39296662,33.94137212
2340,0.48828258,0.037753363,0.035250231,0.106742794,0.334836061,3.18E-06,3.17E-06,3.18E-06,-3.353266667,-3.36539,-3.36765,-12.65862936,0.674588434,0.140983964,0.184402543,0.11782879,0.814379187,0.352992749,0.031766522,7.184575897,11.51435504,7.152809375,4.329779143,-13.69349,-16.45262,-18.68664,0.085799999,19.40522811,31.09977392
2341,0.548308753,0.017139921,0.0071573,0.134557243,0.301738132,6.78E-06,6.79E-06,6.79E-06,-4.31021,-4.254533333,-4.166236667,-11.90005962,0.554518707,0.146262526,0.156503506,0.261330406,0.649254143,0.452083087,0.067102307,9.966231378,14.07330871,9.899129071,4.107077332,-15.58816,-17.96894,-19.14684,0.163920427,24.34594239,34.37888907
2342,0.638452027,0.019332609,0.009644253,0.166023995,0.296749144,6.56E-06,6.55E-06,6.53E-06,-3.532623333,-3.60463,-3.55,-11.93604551,0.647305101,0.103208033,0.067435024,0.220186646,0.761087393,0.114544208,0.0648869,11.24488236,15.40518338,11.17999546,4.16030102,-14.21459,-18.10102,-19.29578,0.155984013,27.03198764,37.03308878
2343,0.422855314,0.024906938,0.006505512,0.103618069,0.293094,8.37E-06,8.35E-06,8.33E-06,-4.198513333,-4.17261,-4.072686667,-11.69324902,0.567556394,0.097728811,0.108375336,0.085118495,0.898488362,0.107654403,0.083960631,8.735265946,11.44439363,8.651305315,2.709127684,-16.52224,-20.11426,-20.62346,0.1994428,20.75003337,27.18538293
2344,0.194959244,0.009360467,0.012037631,0.025004218,0.403503148,6.61E-06,6.62E-06,6.61E-06,-4.69614,-4.67355,-4.82351,-11.9269269,0.488133058,0.450762326,0.198767965,0.013996512,0.954322659,0.183195379,0.064391845,3.146289851,4.391717218,3.081898006,1.245427367,-18.19095,-20.61707,-20.99329,0.20840131,10.18282559,14.21359525
2345,0.239659633,0.005162436,0.005226667,0.026017539,0.334096761,1.12E-05,1.11E-05,1.11E-05,-4.89939,-4.841953333,-4.83864,-11.40856545,0.470572867,0.219609526,0.298229828,0.041280163,0.938835253,0.125783618,0.110555013,5.188104928,6.522799197,5.077549915,1.334694269,-19.24587,-21.99271,-21.61525,0.297966903,13.98293497,17.58019127
2346,0.767777301,0.057520274,0.019816864,0.336786846,0.177678544,7.60E-06,7.62E-06,7.61E-06,-3.238476667,-3.261123333,-3.278893333,-11.78604739,0.68856334,0.073371201,0.084902926,0.446114306,0.518129474,0.188997944,0.077132386,20.89945051,32.74175078,20.82231812,11.84230027,-12.6607,-16.82232,-19.60395,0.113798665,30.83438349,48.30613605
2347,0.494948467,0.010112428,0.004126726,0.066417385,0.338749703,3.29E-06,3.30E-06,3.30E-06,-2.98843,-3.035303333,-3.028306667,-12.62158809,0.72154475,0.063147323,0.078788178,0.257426591,0.744983953,0.012043985,0.032957245,7.195716686,11.81104682,7.162759441,4.615330134,-13.34428,-15.8064,-17.2779,0.090021959,19.65493522,32.26160371
2348,0.513676907,0.086810907,0.012653772,0.156977453,0.224134553,6.91E-06,7.01E-06,6.91E-06,-5.033713333,-5.177803333,-5.15212,-11.87820878,0.434994544,0.128353788,0.19139058,0.039153482,0.926276378,0.196245656,0.06795294,14.1359689,21.00356826,14.06801596,6.86759936,-17.67474,-17.35044,-19.52474,0.124873994,25.97702026,38.59729193
2351,0.574796355,0.048065238,0.030752884,0.136067716,0.256178073,9.38E-06,9.48E-06,9.48E-06,-4.70671,-4.60668,-4.615863333,-11.56949582,0.500116392,0.120861498,0.113675741,0.188622059,0.775240745,0.199007181,0.094971261,13.24297577,17.40730251,13.14800451,4.16432674,-16.31386,-19.80078,-21.16066,0.198256737,27.64530168,36.33851921
2352,0.553221856,0.034850732,0.021343458,0.130576764,0.261831398,9.45E-06,9.45E-06,9.44E-06,-4.38719,-4.432063333,-4.390486667,-11.56949582,0.532782721,0.17354423,0.144304992,0.159319991,0.813729115,0.155904332,0.094310322,12.43624492,16.28125164,12.3419346,3.84500672,-16.17651,-19.84941,-21.0131,0.201034884,26.50949551,34.70563422
2360,0.354944939,0.008527494,0.00898411,0.069093097,0.301836361,1.09E-05,1.10E-05,1.10E-05,-4.69706,-4.647516667,-4.651053333,-11.41761529,0.497102852,0.117033885,0.166097059,0.037036,0.934479648,0.167141039,0.10884358,8.367138993,10.33659434,8.258295413,1.969455347,-18.16159,-21.60375,-21.75701,0.265971197,20.44601965,25.25859928
2362,0.729385382,0.034862833,0.0317871,0.312330213,0.207162171,4.20E-06,4.20E-06,4.20E-06,-2.70782,-2.720196667,-2.716153333,-12.38042603,0.762762582,0.090574427,0.079973776,0.289581198,0.711711632,0.01637982,0.041330226,14.48942472,25.89335591,14.44809449,11.40393119,-11.26277,-15.0693,-18.16047,0.070480244,24.7087491,44.15582032
2363,0.553012717,0.031884457,0.022389816,0.231212344,0.267942262,1.00E-06,1.00E-06,1.00E-06,-1.58368,-1.5647,-1.595433333,-13.81551056,0.917140778,0.138767842,0.127130605,0.488292271,0.515100266,0,0.009775119,3.189325354,10.62014444,3.179550235,7.430819086,-8.17917,-9.27023,-11.8821,0.021302792,6.950456025,23.14434519
2364,0.491512614,0.02884972,0.016841878,0.084285745,0.364925088,5.75E-06,5.76E-06,5.76E-06,-3.96118,-3.92134,-4.056543333,-12.06457308,0.59047219,0.109541207,0.171908121,0.217960436,0.78261107,0.022113551,0.056936853,8.514395391,11.64381292,8.457458538,3.129417529,-15.78507,-20.0694,-21.78155,0.167144116,24.99490246,34.18163649
2365,0.492597038,0.028985187,0.015793292,0.085302435,0.366308045,5.63E-06,5.65E-06,5.64E-06,-3.909753333,-3.90896,-3.916293333,-12.08562649,0.599736483,0.110922207,0.1811263,0.145910724,0.857177638,0.012338851,0.056239817,8.402359336,11.54709307,8.346119519,3.144733734,-15.80833,-19.87858,-21.70376,0.165704437,24.75662794,34.02224012
2366,0.490440362,0.029264638,0.015942899,0.081508756,0.371814027,5.50E-06,5.52E-06,5.51E-06,-3.865506667,-3.873023333,-3.943713333,-12.10894593,0.602131969,0.11161193,0.171125493,0.148870462,0.850794904,0.028652751,0.055219796,8.052643536,11.18133455,7.99742374,3.128691014,-15.71565,-19.43945,-21.10289,0.165070099,24.07199516,33.42467973
